Company_Name,CEO_Name,Industry,Company_Sector,Country,City,Founded_Year,Employee_Count,Male_Employees,Female_Employees,Last_Year_Hirings,Hiring_Rate (%),Average_Salary_LPA,Annual_Revenue_INR_Crores,Company_Shares_INR
Apex Solutions Ltd.,Melissa Morales,Banking,Public,South Korea,Seoul,2012,122061,71669,50392,11821,9.68,36.45,222368.31,42415.2
Nova Industries Ltd.,Anne Johnson,Logistics,Public,Taiwan,Taipei,1973,32850,19216,13634,3404,10.36,23.22,24330.52,42050.56
BlueSky Healthcare Ltd.,Jennifer Bennett,Manufacturing,MNC,South Korea,Seoul,1990,47515,23635,23880,2507,5.28,17.77,31531.04,388628.84
Summit Solutions Ltd.,Wendy Jackson,Telecom,Startup,Thailand,Bangkok,1968,108450,71254,37196,12656,11.67,31.74,92189.08,167466.08
Nova Energy Ltd.,Ashley Martin,Telecom,Private,Thailand,Bangkok,2006,184138,97521,86617,10306,5.6,10.73,570878.49,222233.46
Summit Retail Ltd.,Jacqueline Scott,Manufacturing,Startup,China,Beijing,2016,75061,41981,33080,4277,5.7,24.71,403452.92,408672.86
BlueSky Energy Ltd.,Michael Allen,Healthcare,Public,Vietnam,Ho Chi Minh City,2021,33828,16363,17465,911,2.69,16.4,165874.31,66998.3
Horizon Retail Ltd.,Angela Lopez,Healthcare,MNC,Indonesia,Jakarta,1994,192592,132188,60404,52,0.03,33.06,36287.1,31535.34
Pacific Logistics Ltd.,Ian Lewis,Banking,MNC,Singapore,Singapore,1953,120561,75900,44661,7482,6.21,39.24,350171.79,366418.48
Horizon Retail Ltd.,Susan Wilson,Healthcare,MNC,Taiwan,Taipei,1996,152485,93245,59240,16528,10.84,14.08,160660.38,260295.34
Prime Retail Ltd.,Philip Briggs,Energy,Private,Indonesia,Jakarta,2020,105329,53405,51924,19977,18.97,29.19,498415.15,274502.54
Pacific Foods Ltd.,Devin Taylor,Retail,Public,China,Beijing,2019,193525,114270,79255,6353,3.28,24.39,367952.29,42098.72
Nova Industries Ltd.,Michael Stark,Logistics,Government,Malaysia,Kuala Lumpur,1968,90849,54811,36038,7004,7.71,9.19,7086.74,223749.64
Horizon Manufacturing Ltd.,Emily Hill,Energy,MNC,UAE,Dubai,1974,190078,106036,84042,29778,15.67,28.33,420283.29,113194.92
Prime Solutions Ltd.,Theresa Schmidt,Retail,MNC,Vietnam,Ho Chi Minh City,1999,93533,59511,34022,14916,15.95,17.04,311712.85,292758.62
Horizon Energy Ltd.,Glenn Collins,Retail,Startup,Singapore,Singapore,1952,182897,107961,74936,8477,4.63,6.48,525822.92,308309.14
Apex Energy Ltd.,Adam Porter,IT Services,MNC,Thailand,Bangkok,2011,33703,18788,14915,6054,17.96,30.41,462530.62,70940.54
Evergreen Industries Ltd.,Melissa Mercado,Telecom,MNC,South Korea,Seoul,1988,106023,72061,33962,12000,11.32,31.9,685730.46,101166.96
Pacific Industries Ltd.,Brett Mitchell,Energy,MNC,Malaysia,Kuala Lumpur,2021,55877,35805,20072,4327,7.74,38.16,398995.28,398014.02
Summit Holdings Ltd.,Steven Edwards,Logistics,Startup,Thailand,Bangkok,1959,59039,29226,29813,238,0.4,29.73,622676.81,152519.28
Nova Group Ltd.,Jesus Hughes,Energy,Public,China,Beijing,1993,81406,43853,37553,2521,3.1,20.8,66503.8,36719.42
Vertex Industries Ltd.,Walter Gordon,Energy,Public,Vietnam,Ho Chi Minh City,2006,121750,84951,36799,10258,8.43,24.58,666938.17,24547.84
Vertex Logistics Ltd.,Mary Schmitt,IT Services,Private,China,Beijing,2016,88237,54187,34050,12587,14.26,33.62,565032.9,147246.62
Evergreen Energy Ltd.,Caleb Mendez,Telecom,MNC,Vietnam,Ho Chi Minh City,1960,36815,22228,14587,1144,3.11,15.24,312018.75,395480.46
Nova Logistics Ltd.,Samantha Pham,Telecom,Private,Singapore,Singapore,2011,156501,79882,76619,21475,13.72,31.93,321525.62,130066.4
Apex Solutions Ltd.,Timothy Grant,Telecom,Private,UAE,Dubai,1997,6564,3615,2949,1214,18.49,32.37,461771.75,402131.7
Nova Retail Ltd.,Jose Flores,IT Services,MNC,Thailand,Bangkok,2000,139268,72684,66584,16605,11.92,35.66,550083.18,424476.22
Apex Technologies Ltd.,Randy Ball,Manufacturing,Government,Japan,Tokyo,2005,108023,63227,44796,20077,18.59,35.83,448558.54,58896.24
Prime Healthcare Ltd.,Haley Williams MD,Manufacturing,Government,Singapore,Singapore,1955,82502,39263,43239,9392,11.38,25.57,421475.25,51004.02
Prime Group Ltd.,Joan Singh,Retail,Public,China,Beijing,1975,177974,100810,77164,13522,7.6,3.55,579552.71,54517.98
BlueSky Holdings Ltd.,Brenda Lewis,Energy,Government,Indonesia,Jakarta,2021,17715,11070,6645,1449,8.18,36.99,167362.36,412108.56
BlueSky Energy Ltd.,Charles Hamilton,Banking,MNC,Vietnam,Ho Chi Minh City,1970,131045,63761,67284,8876,6.77,9.09,566822.39,56521.78
Apex Logistics Ltd.,Claudia Brown,Logistics,Startup,Thailand,Bangkok,1985,162652,84932,77720,25143,15.46,10.66,598447.51,212227.36
Evergreen Logistics Ltd.,Lisa Russell,Banking,Private,Vietnam,Ho Chi Minh City,1970,128014,77491,50523,10166,7.94,5.1,641392.21,230823.14
Summit Energy Ltd.,Seth Jackson,IT Services,MNC,Taiwan,Taipei,1984,74003,33894,40109,7357,9.94,9.15,96366.78,258513.42
Horizon Logistics Ltd.,Lori Perry,IT Services,Startup,Taiwan,Taipei,1970,7353,4829,2524,413,5.62,23.75,322076.97,359500.64
Nova Holdings Ltd.,Brenda Hull,Energy,Startup,UAE,Dubai,2008,123487,78920,44567,23253,18.83,22.43,379539.67,124951.98
Pioneer Holdings Ltd.,Shawn Kaufman,Logistics,Government,Taiwan,Taipei,1970,55345,32041,23304,797,1.44,15.0,571233.59,387707.78
Apex Foods Ltd.,Andre Hoover,Banking,Startup,Thailand,Bangkok,1956,44456,23322,21134,7057,15.87,14.56,238629.27,415605.32
Horizon Manufacturing Ltd.,Daniel Santiago,IT Services,MNC,Vietnam,Ho Chi Minh City,1960,100859,69777,31082,4090,4.06,36.44,509372.24,279248.02
Nova Retail Ltd.,Joshua Mcgee,Healthcare,Private,UAE,Dubai,1999,46451,28428,18023,1858,4.0,33.77,94862.99,395327.38
Horizon Solutions Ltd.,Joann Lara,Healthcare,Government,Taiwan,Taipei,2005,101964,54926,47038,2628,2.58,27.69,616373.95,160339.26
Prime Manufacturing Ltd.,Donald Hernandez,IT Services,Government,Singapore,Singapore,1969,38962,18652,20310,5287,13.57,9.72,529290.87,157751.52
Evergreen Manufacturing Ltd.,Melissa Sanchez,Banking,Startup,Thailand,Bangkok,1960,103500,69656,33844,6432,6.21,3.31,581773.32,370470.8
Summit Healthcare Ltd.,Elizabeth Ross,IT Services,Government,Singapore,Singapore,2002,112195,76686,35509,15396,13.72,34.63,37292.44,184451.08
Apex Foods Ltd.,Sharon Martin,Healthcare,Startup,Indonesia,Jakarta,1986,68408,44052,24356,5986,8.75,33.81,293715.46,331015.72
Nova Healthcare Ltd.,Sean Chase,Telecom,MNC,Japan,Tokyo,1995,167447,109320,58127,23712,14.16,30.87,299474.45,120061.16
Nova Energy Ltd.,Travis Roberts,IT Services,MNC,South Korea,Seoul,2017,4847,3349,1498,410,8.46,8.88,678360.35,199593.96
Summit Holdings Ltd.,Angelica Hall,Retail,Public,Japan,Tokyo,1952,11001,5284,5717,829,7.54,34.38,259438.78,33937.32
Apex Technologies Ltd.,Mr. Kenneth Pearson,Logistics,MNC,China,Beijing,2017,58414,26625,31789,1799,3.08,24.57,32952.53,330014.68
Vertex Group Ltd.,Alison Roman,Manufacturing,Startup,China,Beijing,1965,101417,46091,55326,14636,14.43,5.17,506920.29,154330.44
Prime Foods Ltd.,Kelli Johnson,Healthcare,Startup,Vietnam,Ho Chi Minh City,2005,132929,76565,56364,760,0.57,5.41,140485.21,73570.42
Evergreen Retail Ltd.,Ashley Bryant,Energy,Government,South Korea,Seoul,1988,190214,98976,91238,27929,14.68,25.86,597984.14,30368.32
Summit Industries Ltd.,Matthew Ruiz,Logistics,MNC,China,Beijing,1955,91197,54282,36915,2723,2.99,39.34,8637.58,248404.98
Horizon Holdings Ltd.,Mr. William Stevens Jr.,Retail,Startup,China,Beijing,2022,103352,55120,48232,12032,11.64,31.94,571983.33,319090.96
Pacific Energy Ltd.,Heather Cochran,Energy,MNC,Indonesia,Jakarta,1962,140996,66813,74183,10826,7.68,12.58,130209.42,216815.46
Nova Manufacturing Ltd.,Alicia Gordon,Healthcare,Private,Thailand,Bangkok,2003,158921,99386,59535,30795,19.38,4.69,102319.79,196737.9
Evergreen Solutions Ltd.,Timothy Wilson,IT Services,Private,Indonesia,Jakarta,1966,198961,96482,102479,23291,11.71,38.84,208942.76,238284.5
Prime Holdings Ltd.,Alex Ortiz,Telecom,Government,Taiwan,Taipei,2015,3760,2546,1214,673,17.9,30.89,487876.37,392517.76
Evergreen Manufacturing Ltd.,Amy Randall,Retail,Public,South Korea,Seoul,1982,74474,35368,39106,3620,4.86,19.55,544127.93,6738.96
Prime Energy Ltd.,Frederick Fernandez,Healthcare,Startup,China,Beijing,1977,97973,57424,40549,11470,11.71,15.53,300668.47,112112.18
Pacific Solutions Ltd.,Teresa Smith,Manufacturing,Startup,Indonesia,Jakarta,1953,21389,10291,11098,3215,15.03,27.45,471860.5,73099.14
Vertex Retail Ltd.,Diana Rowe,Logistics,MNC,Malaysia,Kuala Lumpur,1979,17601,11743,5858,2301,13.07,29.21,22579.21,78766.54
Pioneer Foods Ltd.,Kathryn Frederick MD,Manufacturing,Public,Singapore,Singapore,1951,25383,16723,8660,2715,10.7,38.22,471690.39,12541.38
Pacific Industries Ltd.,Kristen Pratt,Energy,Startup,Japan,Tokyo,1956,171481,115596,55885,12034,7.02,9.34,270372.91,302357.94
Vertex Foods Ltd.,Ronald Gardner,Manufacturing,MNC,Malaysia,Kuala Lumpur,1971,70502,47410,23092,13320,18.89,15.03,215151.27,171739.42
Vertex Solutions Ltd.,Kristen Lopez,IT Services,Startup,Malaysia,Kuala Lumpur,1997,46896,28538,18358,8573,18.28,3.75,110272.04,150237.7
Prime Logistics Ltd.,Theresa Montes,Manufacturing,Startup,UAE,Dubai,2016,166408,88097,78311,4097,2.46,22.7,572336.28,146404.68
Pioneer Industries Ltd.,Thomas Davis,Telecom,Public,Thailand,Bangkok,1995,161157,105993,55164,28241,17.52,23.01,218408.27,27021.2
Horizon Energy Ltd.,Denise Sharp,IT Services,Startup,Thailand,Bangkok,1977,67908,47063,20845,10373,15.28,23.5,168329.61,67740.48
Apex Industries Ltd.,Taylor Vega,Telecom,Startup,South Korea,Seoul,1997,48804,23278,25526,2722,5.58,6.79,219111.32,181605.34
Pioneer Energy Ltd.,Jessica Morgan,IT Services,Public,Malaysia,Kuala Lumpur,1980,125911,57215,68696,14867,11.81,23.72,451932.49,8754.8
Prime Energy Ltd.,Nathan Davidson,Healthcare,Government,Japan,Tokyo,1965,199342,102643,96699,8901,4.47,10.6,534572.65,66804.8
Evergreen Group Ltd.,Sonya Shaw,Healthcare,Government,Japan,Tokyo,1978,75053,35484,39569,2179,2.9,38.97,202447.01,214148.6
Apex Foods Ltd.,Cassandra Lamb,Retail,Startup,UAE,Dubai,1975,104074,55535,48539,17924,17.22,28.91,663607.22,234029.22
Summit Healthcare Ltd.,Mike Banks,Banking,Private,China,Beijing,1998,30458,14383,16075,5464,17.94,3.58,446605.74,148685.4
Summit Group Ltd.,Seth Nash,Telecom,Startup,Malaysia,Kuala Lumpur,1956,162112,76254,85858,18126,11.18,20.86,183017.03,109417.8
Horizon Retail Ltd.,Bryce Joseph,Manufacturing,Startup,UAE,Dubai,1979,48417,22505,25912,9305,19.22,22.42,539776.59,404437.36
BlueSky Industries Ltd.,Nathaniel Oconnor,Logistics,Private,Thailand,Bangkok,2007,174346,95750,78596,29668,17.02,16.22,299450.45,60706.54
Nova Energy Ltd.,Cindy Hernandez,Manufacturing,Private,Taiwan,Taipei,2016,120250,54485,65765,876,0.73,12.91,75499.23,111577.26
Prime Energy Ltd.,Jennifer Lopez,Banking,Public,China,Beijing,1950,192809,131775,61034,23627,12.25,6.75,606105.9,39496.36
Evergreen Solutions Ltd.,Debbie Kelly,Energy,Public,Indonesia,Jakarta,2007,103430,68345,35085,7557,7.31,24.67,352856.11,47797.94
Nova Logistics Ltd.,Alison Curry,Manufacturing,MNC,Indonesia,Jakarta,1987,32893,22948,9945,2987,9.08,37.09,515025.88,270731.44
Nova Solutions Ltd.,Vanessa Williams,Banking,Government,Vietnam,Ho Chi Minh City,2014,24550,12967,11583,2912,11.86,9.4,68427.28,308901.68
Vertex Energy Ltd.,Jeffrey Wolfe,Energy,MNC,China,Beijing,2015,147067,81530,65537,26370,17.93,21.39,124907.69,206661.44
Horizon Technologies Ltd.,Jessica Salas,IT Services,Public,Malaysia,Kuala Lumpur,2022,196528,92574,103954,13724,6.98,33.83,187241.26,9981.16
Vertex Holdings Ltd.,Heather Peterson,Healthcare,Private,Singapore,Singapore,1968,89831,52393,37438,10488,11.68,37.16,317663.53,135984.06
Horizon Holdings Ltd.,Paula Brown,Energy,Public,Taiwan,Taipei,1988,22726,13066,9660,3953,17.39,3.01,673619.08,48680.3
Prime Group Ltd.,Matthew Wong,Logistics,Public,Malaysia,Kuala Lumpur,2014,140814,63700,77114,21316,15.14,37.4,196492.03,7163.8
Pacific Industries Ltd.,Jasmine Murphy,Retail,Government,Thailand,Bangkok,2003,76696,46457,30239,11088,14.46,6.06,409075.68,362315.42
BlueSky Technologies Ltd.,Joshua Bauer,Logistics,Private,Singapore,Singapore,2010,45606,29661,15945,7046,15.45,10.06,43680.35,410815.98
Evergreen Technologies Ltd.,Rebecca Kirby,Telecom,Government,Malaysia,Kuala Lumpur,1957,6130,3763,2367,1022,16.67,16.26,500660.78,380981.72
Evergreen Foods Ltd.,Jeffrey Allen,Energy,Startup,Indonesia,Jakarta,1982,156646,99781,56865,1229,0.78,15.06,362744.13,243870.2
Horizon Manufacturing Ltd.,Rachel Norris,Logistics,Private,Thailand,Bangkok,1954,174216,119045,55171,16929,9.72,28.65,569494.06,50566.28
Evergreen Foods Ltd.,Rachel Rodriguez,Telecom,Private,Japan,Tokyo,1964,139842,76788,63054,5353,3.83,23.33,121690.52,173841.26
Pacific Foods Ltd.,Jennifer Edwards,IT Services,Startup,Thailand,Bangkok,2018,98657,65345,33312,554,0.56,5.91,580495.79,180239.66
Apex Healthcare Ltd.,John Joyce,Banking,Public,Taiwan,Taipei,2022,8251,3865,4386,32,0.39,28.93,28211.18,32442.64
Prime Technologies Ltd.,Michaela Williams,Energy,Private,Vietnam,Ho Chi Minh City,1997,5945,3412,2533,758,12.75,14.08,80355.99,124241.62
Pioneer Foods Ltd.,Christina Nelson,Manufacturing,Public,China,Beijing,2000,56983,33578,23405,347,0.61,37.87,529074.58,4895.12
BlueSky Holdings Ltd.,James Landry,Telecom,Public,Indonesia,Jakarta,2009,103539,56892,46647,1828,1.77,27.92,279730.14,8833.92
Summit Healthcare Ltd.,Tina Chang,Logistics,Private,Thailand,Bangkok,2017,155529,70204,85325,10050,6.46,35.24,152911.7,363111.78
Summit Technologies Ltd.,Joseph Moore IV,Banking,Government,Taiwan,Taipei,1985,11922,8197,3725,61,0.51,19.39,492128.81,118932.84
Horizon Retail Ltd.,Kyle Warren,IT Services,Public,Singapore,Singapore,2019,29443,20314,9129,5733,19.47,25.12,586219.52,53115.32
Summit Logistics Ltd.,Ashlee Williams,IT Services,Private,Taiwan,Taipei,1970,109735,70975,38760,3467,3.16,27.37,235404.27,138857.32
Nova Group Ltd.,Robert Stark,Energy,Government,Indonesia,Jakarta,1976,44698,25284,19414,1767,3.95,37.15,243215.31,271440.94
Apex Group Ltd.,Brent Ramsey,Telecom,MNC,Malaysia,Kuala Lumpur,2017,172554,89932,82622,16029,9.29,33.18,619736.9,74488.04
Nova Retail Ltd.,Erika Chapman,Banking,MNC,Indonesia,Jakarta,2014,4079,2251,1828,87,2.13,8.24,420213.29,48688.9
BlueSky Energy Ltd.,Travis Liu,Banking,Private,UAE,Dubai,1987,19638,9718,9920,577,2.94,8.69,217900.69,204886.4
Nova Energy Ltd.,Peter Stein,IT Services,MNC,Vietnam,Ho Chi Minh City,1995,7736,4658,3078,206,2.66,37.27,128895.17,232411.56
Horizon Logistics Ltd.,Rebecca Williams,Banking,Public,Thailand,Bangkok,2014,21371,10393,10978,1602,7.5,16.22,464558.58,65570.7
Nova Healthcare Ltd.,Charles Foster,Telecom,MNC,Thailand,Bangkok,2001,177787,106964,70823,4484,2.52,34.87,103325.9,10730.22
Nova Healthcare Ltd.,Steven Snyder,Logistics,MNC,Indonesia,Jakarta,1984,21899,12427,9472,411,1.88,39.74,211965.06,410140.88
BlueSky Industries Ltd.,Amber Vasquez,Logistics,Government,China,Beijing,2002,66246,42951,23295,5076,7.66,12.68,663759.27,266237.08
Pioneer Energy Ltd.,Kenneth Perez,Banking,Public,South Korea,Seoul,2008,195907,115463,80444,15712,8.02,34.25,17486.29,34280.46
BlueSky Healthcare Ltd.,Cynthia Davidson,Energy,Startup,Singapore,Singapore,1970,169081,117126,51955,26521,15.69,37.1,376254.64,347170.82
Pioneer Retail Ltd.,Robert Wang,Logistics,Public,Vietnam,Ho Chi Minh City,2003,193727,92452,101275,25908,13.37,6.88,259036.82,63321.8
Evergreen Holdings Ltd.,Mary Cole,Logistics,Government,UAE,Dubai,1963,176252,79814,96438,32318,18.34,28.83,321492.17,200293.14
Horizon Technologies Ltd.,Christina Rogers,Logistics,Public,China,Beijing,1994,80883,44761,36122,7954,9.83,22.0,211702.85,60611.94
Pioneer Retail Ltd.,Jose Mccarthy,Telecom,Startup,Malaysia,Kuala Lumpur,1961,123083,77447,45636,9535,7.75,4.01,184239.78,49484.4
BlueSky Technologies Ltd.,Deborah Williams,Healthcare,MNC,China,Beijing,1984,83819,54865,28954,8754,10.44,5.19,275120.19,240683.04
Prime Group Ltd.,Rachael Cohen,IT Services,MNC,Taiwan,Taipei,1981,9968,5093,4875,1677,16.82,9.58,46003.89,234301.84
Apex Healthcare Ltd.,Thomas Crane,Energy,MNC,Thailand,Bangkok,1972,40096,18901,21195,5492,13.7,38.99,478248.06,377870.24
Vertex Solutions Ltd.,Linda Morrow,Logistics,Government,UAE,Dubai,1988,163281,81699,81582,11068,6.78,30.65,25491.52,334081.62
Evergreen Industries Ltd.,Alicia Brown,Manufacturing,Private,Taiwan,Taipei,1970,71026,47126,23900,8471,11.93,7.51,45066.75,318205.16
Evergreen Group Ltd.,James Chavez,Manufacturing,Private,South Korea,Seoul,1953,174522,95440,79082,18020,10.33,14.9,216323.97,281953.58
Apex Logistics Ltd.,Kristy Rodgers,Energy,Public,Malaysia,Kuala Lumpur,2008,148807,87814,60993,28411,19.09,23.07,104931.95,43896.12
Summit Solutions Ltd.,Sheila Rodriguez,Retail,Public,Malaysia,Kuala Lumpur,1990,133828,81058,52770,8045,6.01,19.66,339178.41,15230.6
Horizon Solutions Ltd.,Claudia White,IT Services,Public,Malaysia,Kuala Lumpur,2016,179001,82383,96618,12432,6.95,26.2,490735.09,35096.6
Pacific Logistics Ltd.,Jeremy Bishop,IT Services,Private,Thailand,Bangkok,1984,43135,26181,16954,3351,7.77,37.82,387016.34,369502.44
Pioneer Energy Ltd.,Barbara Scott,IT Services,Public,Japan,Tokyo,1978,132828,71459,61369,7966,6.0,26.39,285009.33,8399.62
BlueSky Energy Ltd.,Aaron Carter,Energy,MNC,Singapore,Singapore,1997,79289,49445,29844,1104,1.39,24.96,115294.95,346798.44
Horizon Healthcare Ltd.,Kelly Rivera,Healthcare,Private,China,Beijing,1991,42502,20674,21828,192,0.45,9.61,892.16,112888.76
Evergreen Group Ltd.,Jennifer Henderson,Healthcare,Private,Taiwan,Taipei,1951,70535,45501,25034,12942,18.35,18.56,151619.72,386202.78
Evergreen Holdings Ltd.,Laura Vaughan,Logistics,Government,Indonesia,Jakarta,1963,133497,92870,40627,9924,7.43,27.33,539758.36,208353.92
Nova Solutions Ltd.,Kimberly Williams,Telecom,Government,China,Beijing,1954,179333,106574,72759,9894,5.52,18.93,171523.47,290274.08
Horizon Industries Ltd.,William Hansen,Healthcare,Public,Thailand,Bangkok,1955,175238,120579,54659,11728,6.69,7.27,217235.05,21534.4
Apex Solutions Ltd.,Samuel Watson,Banking,Startup,Thailand,Bangkok,2001,110737,50435,60302,6544,5.91,5.7,377739.0,29921.12
BlueSky Healthcare Ltd.,Michael Hale,Retail,Private,Malaysia,Kuala Lumpur,2001,56947,32207,24740,6625,11.63,4.17,318972.71,129369.8
Evergreen Industries Ltd.,James Hicks,Telecom,Private,Japan,Tokyo,1975,33368,21779,11589,5182,15.53,7.04,50760.04,386642.24
Pioneer Energy Ltd.,Tiffany Cohen,Banking,MNC,Japan,Tokyo,1967,49707,28257,21450,1301,2.62,7.54,45116.63,92272.84
Horizon Holdings Ltd.,Michael Bright,Healthcare,Public,Taiwan,Taipei,1986,34426,22377,12049,1942,5.64,35.43,17699.49,39879.92
Pioneer Energy Ltd.,Leslie Wilson,Telecom,Startup,Japan,Tokyo,2013,64771,38757,26014,2567,3.96,25.28,232111.76,295845.16
Apex Healthcare Ltd.,Erica Pearson,Healthcare,MNC,Indonesia,Jakarta,1968,130474,82766,47708,4863,3.73,32.84,110293.19,140093.14
Prime Group Ltd.,Ryan Brown,IT Services,MNC,Thailand,Bangkok,1973,123508,78121,45387,21406,17.33,9.88,450712.84,9280.26
BlueSky Energy Ltd.,Jennifer Parker,IT Services,Government,Thailand,Bangkok,2022,95795,50740,45055,12903,13.47,33.7,328843.62,173810.3
BlueSky Solutions Ltd.,Teresa Huynh,Retail,Private,UAE,Dubai,2013,196878,111374,85504,36430,18.5,33.56,520793.98,232231.82
Horizon Industries Ltd.,Richard Bryant,Telecom,Private,UAE,Dubai,1998,124557,60990,63567,6937,5.57,7.38,526960.7,58218.56
Pacific Manufacturing Ltd.,Gail Curtis,Healthcare,Government,Japan,Tokyo,1950,98270,50478,47792,18473,18.8,28.26,369389.87,161283.54
Prime Retail Ltd.,Kevin Santana,Logistics,Startup,Japan,Tokyo,1994,130023,65470,64553,14241,10.95,39.93,138001.28,29756.86
BlueSky Energy Ltd.,Andrew Flynn,IT Services,Private,Thailand,Bangkok,1965,113822,61560,52262,5919,5.2,31.92,587788.24,317949.74
BlueSky Foods Ltd.,Michael Rodgers,Manufacturing,Public,Thailand,Bangkok,2006,70206,33063,37143,10948,15.59,11.3,514861.36,10284.74
BlueSky Retail Ltd.,Edward Vasquez,Logistics,MNC,Japan,Tokyo,1990,188104,122329,65775,30751,16.35,20.41,202426.54,244425.76
Nova Solutions Ltd.,Shane Johnson,IT Services,Public,Indonesia,Jakarta,1982,105232,53755,51477,5198,4.94,10.88,430630.47,15501.5
Pioneer Group Ltd.,Douglas Zuniga,Logistics,Startup,UAE,Dubai,1983,118356,61784,56572,1037,0.88,34.06,173179.32,14411.02
Evergreen Solutions Ltd.,Jacob Baker,Retail,Public,UAE,Dubai,1986,132648,79482,53166,6335,4.78,4.56,658715.97,5669.98
Pioneer Holdings Ltd.,Evelyn Munoz,Logistics,MNC,Taiwan,Taipei,1999,60670,28983,31687,2000,3.3,7.69,468854.63,392696.64
Vertex Healthcare Ltd.,Cathy Richardson,Manufacturing,Government,Thailand,Bangkok,2022,194412,135799,58613,26244,13.5,8.84,108610.78,286027.4
BlueSky Manufacturing Ltd.,Andrew Moore,Telecom,MNC,Singapore,Singapore,2001,191731,91018,100713,10480,5.47,15.0,422539.76,207695.16
Vertex Energy Ltd.,Jonathan Heath,Telecom,Government,Singapore,Singapore,1976,45280,21978,23302,6176,13.64,17.5,505116.27,56823.64
Apex Solutions Ltd.,Emily York,Retail,Private,Singapore,Singapore,2012,57619,33098,24521,10948,19.0,22.5,390438.45,410137.44
Apex Technologies Ltd.,Carlos Warren,Logistics,Government,Malaysia,Kuala Lumpur,1973,114905,74339,40566,7192,6.26,15.88,200990.77,368238.24
Horizon Solutions Ltd.,Frank Munoz,Telecom,MNC,Indonesia,Jakarta,2022,6236,3424,2812,60,0.96,37.26,246310.62,357905.34
Horizon Group Ltd.,Adam Doyle,Telecom,Government,Vietnam,Ho Chi Minh City,1993,131735,91680,40055,17730,13.46,31.66,419905.84,404107.98
Nova Industries Ltd.,Mackenzie Melton,Manufacturing,Startup,China,Beijing,1958,68168,42494,25674,1346,1.97,18.61,88391.06,7826.0
BlueSky Retail Ltd.,William Griffin,Energy,MNC,Vietnam,Ho Chi Minh City,1988,72125,34119,38006,5905,8.19,15.58,213251.19,281471.98
Vertex Holdings Ltd.,Danielle Jones,Logistics,Startup,Vietnam,Ho Chi Minh City,1952,3011,1825,1186,228,7.57,12.39,57290.71,58334.66
Vertex Solutions Ltd.,Mary Kane,Manufacturing,Private,China,Beijing,1992,167891,112102,55789,7701,4.59,8.35,348590.16,53582.3
Horizon Retail Ltd.,Douglas Hardin,Energy,Startup,Singapore,Singapore,2016,105525,59210,46315,8252,7.82,30.22,426643.16,148945.12
BlueSky Industries Ltd.,Daniel Jones,IT Services,MNC,UAE,Dubai,1954,94869,60824,34045,4713,4.97,14.01,621485.54,234066.2
Vertex Holdings Ltd.,Dean Donovan,Banking,Startup,Malaysia,Kuala Lumpur,2022,87718,52538,35180,2883,3.29,15.58,311067.33,150766.6
Prime Energy Ltd.,Kristi Crawford,Telecom,Startup,China,Beijing,2019,191545,131609,59936,22190,11.58,12.58,512110.91,374327.04
Horizon Energy Ltd.,Jessica Parks MD,IT Services,MNC,China,Beijing,2011,29303,14349,14954,3254,11.1,14.97,655621.09,146702.24
Pioneer Energy Ltd.,Ashley Lane,Energy,Public,South Korea,Seoul,2003,17991,11070,6921,2210,12.28,12.83,75462.16,8871.76
Nova Solutions Ltd.,Alison Davis,Healthcare,Government,Malaysia,Kuala Lumpur,1974,171527,117310,54217,30267,17.65,35.33,215955.29,409902.66
Horizon Solutions Ltd.,Tammy Contreras,Energy,Government,UAE,Dubai,1960,146767,67290,79477,16971,11.56,3.4,251169.02,152576.9
Prime Manufacturing Ltd.,Courtney Cortez,Logistics,MNC,Japan,Tokyo,1980,10139,5433,4706,55,0.54,9.73,440355.6,275657.52
Nova Logistics Ltd.,Evan Meyers,Banking,Private,Vietnam,Ho Chi Minh City,1978,11384,5788,5596,1514,13.3,6.33,97086.69,217093.24
BlueSky Foods Ltd.,Jacob Phillips,IT Services,Startup,South Korea,Seoul,1963,76834,45410,31424,14949,19.46,9.68,78983.86,79118.28
BlueSky Solutions Ltd.,Katelyn Olson,Manufacturing,Startup,South Korea,Seoul,2013,141957,74749,67208,6799,4.79,32.29,630472.88,201267.52
Apex Healthcare Ltd.,Miss Brianna Compton,Healthcare,Public,Thailand,Bangkok,1987,43451,27184,16267,8267,19.03,32.41,33181.47,54229.88
Evergreen Foods Ltd.,Erica Reed,Logistics,Public,Thailand,Bangkok,1957,126206,65673,60533,11317,8.97,22.71,305821.59,1062.96
BlueSky Healthcare Ltd.,Anthony Pierce,Logistics,Startup,Malaysia,Kuala Lumpur,1950,151343,69584,81759,10463,6.91,37.22,598109.45,312816.4
Nova Foods Ltd.,Jorge Conley,Banking,Government,Thailand,Bangkok,1974,124104,61936,62168,6212,5.01,23.27,627911.89,247158.84
Prime Foods Ltd.,Stephanie Clark,Telecom,Public,Indonesia,Jakarta,2008,50802,31830,18972,2566,5.05,10.39,379432.69,1460.28
Horizon Foods Ltd.,Barbara Hicks DDS,Telecom,Private,South Korea,Seoul,2021,66043,43105,22938,6560,9.93,19.15,623047.47,262263.88
Evergreen Retail Ltd.,Jennifer Murray,Retail,Startup,Vietnam,Ho Chi Minh City,1998,6052,4103,1949,781,12.9,25.31,677598.13,364637.42
